ido_word,esperanto_word,in_current_dict
Andrzej Wróblewski,Andrzej Wróblewski,False
André Breton,André Breton,False
André Citroën,André Citroën,False
André Derain,André Derain,False
André Gide,André Gide,False
André Hazes,André Hazes,False
André Kolingba,André Kolingba,False
André Malraux,André Malraux,False
André Rieu,André Rieu,False
André Tardieu,André Tardieu,False
André-Marie Ampère,André-Marie Ampère,False
Andrés Iniesta,Andrés Iniesta,False
Andy Dick,Andy Dick,False
Andy Gibb,Andy Gibb,False
Andy Palacio,Andy Palacio,False
Andy Vajna,Andrew George Vajna,False
Andy Warhol,Andy Warhol,False
Anerood Jugnauth,Anerood Jugnauth,False
Ange-Félix Patassé,Ange-Félix Patassé,False
Angela Davis,Angela Davis,False
Angela Merkel,Angela Merkel,False
Angelica Kauffman,Angelika Kauffmann,False
Angelina Jolie,Angelina Jolie,False
Angelique Kerber,Angelique Kerber,False
Angelique Rockas,Angelique Rockas,False
Angkor Wat,Angkor Ŭat,False
Angus Deaton,Angus Deaton,False
Angus Young,Angus Young,False
Anita Ekberg,Anita Ekberg,False
Anja Pärson,Anja Pärson,False
Anker Jørgensen,Anker Jørgensen,False
Ann Cleeves,Ann Cleeves,False
Anna Favella,Anna Favella,False
Anna Kendrick,Anna Kendrick,False
Anna Lesko,Anna Lesko,False
Anna Lindh,Anna Lindh,False
Anna Magnani,Anna Magnani,False
Annalena Baerbock,Annalena Baerbock,False
"Annapolis, Maryland",Annapolis (Marilando),False
Anne Bancroft,Anne Bancroft,False
Anne Frank,Anne Frank,False
Anne Hathaway,Anne Hathaway,False
Anne Hidalgo,Anne Hidalgo,False
Anne Rice,Anne Rice,False
Anne-Sophie Mutter,Anne-Sophie Mutter,False
Anneli Jäätteenmäki,Anneli Jäätteenmäki,False
Anni Polva,Anni Polva,False
Anni Swan,Anni Swan,False
Anni-Frid Lyngstad,Anni-Frid Lyngstad,False
Annibale Carracci,Annibale Carracci,False
Annie Ernaux,Annie Ernaux,False
Anote Tong,Anote Tong,False
Anouk Aimée,Anouk Aimée,False
Anselm Kiefer,Anselm Kiefer,False
