ido_word,esperanto_word,in_current_dict,in_wiktionary
Bombardaviono,Bombaviadilo,False,no
Bonaire,Bonero,False,no
Bonajo,Havaĵo,False,no
Booleano,Bulea datumtipo,False,no
Boracho,Oficina borago,False,no
Borborigmo,Abdomena kvako,False,no
Borgezaro,Burĝo,False,no
Borna,Borna,False,no
Borneo,Borneo,False,no
Borobia,Borobia,False,no
Bosajo,Boso,False,no
Bostono,Boston,False,no
Botswana,Bocvano,False,no
Botulismo,Botulismo,False,no
Boyo,Buo,False,no
Braga,Braga,False,no
Brahma,Brahmao,False,no
Brahmagupta,Brahmagupta,False,no
Brahmaputra,Bramaputro,False,no
Brakiolukto,Pojnduelo,False,no
Brakiopodo,Brakiopodoj,False,no
Brakteo,Brakteo,False,no
Brankiopodo,Brankiopodoj,False,no
Brasilia,Braziljo,False,no
Bratislava,Bratislavo,False,no
Brazuelo,Brazuelo,False,no
Brazzaville,Brazavilo,False,no
Brek-danso,Rompdancado,False,no
Brekiro,Briteliro,False,no
Brescia,Breŝo,False,no
Brevo,Apostola brevo,False,no
Briareos,Briareo,False,no
Brilianto,Brilianto,False,no
Brindisi,Brindizio,False,no
Briocho,Brioĉo,False,no
Brisbane,Brisbano,False,no
Briseis,Brizeis,False,no
Brno,Brno,False,no
Brokolo,Brokolo,False,no
Bronz-epoko,Bronzepoko,False,no
Brueto,Ĉarumo,False,no
Brugge,Bruĝo,False,no
Brumado,Brumado,False,no
Brumaire,Brumero,False,no
Brunei,Brunejo,False,no
Buberos,Buberos,False,no
Bucaramanga,Bucaramanga,False,no
Buckinghamshire,Buckinghamshire,False,no
Buddho,Budho Gotamo,False,no
Budismo,Budhismo,False,no
Bufono,Bufono,False,no
Buitrago,Buitrago,False,no
Bujumbura,Buĵumburo,False,no
Bukhara,Buĥaro,False,no
Buklo,Buko,False,no
Bukovina,Bukovino,False,no
Bul-plumo,Globkrajono,False,no
Bulawayo,Bulawayo,False,no
Bulimio,Bulimio,False,no
Bura,Buroj,False,no
Burasko,Skualo,False,no
Burgas,Burgaso,False,no
Burgo,Burgus,False,no
Burgos,Burgoso,False,no
Burgravio,Burgraviato,False,no
Burgravo,Burggrafo,False,no
Burjono,Burĝono,False,no
Bursa,Bursa,False,no
Burundi,Burundo,False,no
Buso,Bukso,False,no
Busolo,Kompaso,False,no
Bustrofedono,Tienreena skribo,False,no
Butro-lakto,Buterlakto,False,no
Buvrelo,Piroloj,False,no
Bychawa,Bychawa,False,no
C-Train,C-Trajno,False,no
Cacabelos,Cacabelos,False,no
Cagliari,Kaljaro,False,no
Calais,Calais,False,no
Calamonte,Calamonte,False,no
Caligula,Kaligulo,False,no
Caltojar,Caltojar,False,no
Cambridgeshire,Cambridgeshire,False,no
Campazas,Campazas,False,no
Campeche,Campeche,False,no
Campinas,Campinas,False,no
Campobasso,Kampobaso,False,no
Camponaraya,Camponaraya,False,no
Camus,Camus,False,no
Canaletto,Kanaletto,False,no
Canberra,Kanbero,False,no
Candilichera,Candilichera,False,no
Canoas,Canoas,False,no
Cantinflas,Cantinflas,False,no
Capet-dinastio,Kapetidoj,False,no
Capilla,Capilla,False,no
Caracas,Karakaso,False,no
Caracena,Caracena,False,no
Caraguatatuba,Caraguatatuba,False,no
Caravaggio,Caravaggio,False,no
Carcassonne,Karkasuno,False,no
Carloforte,Carloforte,False,no
Carmonita,Carmonita,False,no
Carnegie-halo,Carnegie Hall,False,no
Carracedelo,Carracedelo,False,no
Carrocera,Carrocera,False,no
Cartagena,Kartageno,False,no
Carucedo,Carucedo,False,no
Casarejos,Casarejos,False,no
Cascais,Cascais,False,no
Caserta,Kaserto,False,no
Castilblanco,Castilblanco,False,no
Castrocontrigo,Castrocontrigo,False,no
Castropodame,Castropodame,False,no
Castuera,Castuera,False,no
Catanzaro,Katanzaro,False,no
Catullus,Katulo,False,no
Caucaia,Caucaia,False,no
Cayenne,Kajeno,False,no
Cazuza,Cazuza,False,no
Cebanico,Cebanico,False,no
Cefalopodo,Kapopieduloj,False,no
Cel-pafisto,Kaŝpafisto,False,no
Celibo kontre-vola,Nevola ĉastulo,False,no
Ceno-materialo,Rekvizito,False,no
Cenotafio,Cenotafo,False,no
Censoro,Censoro,False,no
Censuro,Cenzuro,False,no
Centi,Centi,False,no
Centifolio,Centfolia rozo,False,no
Centrafrika,Centr-Afrika Respubliko,False,no
Centuriono,Centestro,False,no
Cepheid-varianti,Cefeido,False,no
Ceptro,Sceptro,False,no
Ceramikajo,Ceramikaĵo,False,no
Cerbero,Cerbero,False,no
Cerebro-fugo,Cerbofuĝo,False,no
Cerizo,Ĉerizo,False,no
Cesena,Cesena,False,no
Ceuta,Ceŭto,False,no
Chambristino,Ĉambristino,False,no
Champania-Ardeni,Ĉampanjo-Ardenoj,False,no
Chanakya,Ĉanakja,False,no
Chanfreno,Ĉanfro,False,no
Chapleto,Bidaro,False,no
Charleroi,Charleroi,False,no
Chasado,Ĉasado,False,no
Chazublo,Kazublo,False,no
Chef-tempo,Pinttempo,False,no
Chef-tendenco,Ĉeftendenco,False,no
Chennai,Ĉenajo,False,no
Chernivci,Ĉernivco,False,no
Cheshire,Cheshire,False,no
Chiapas,Chiapas,False,no
Chiba,Ĉiba,False,no
Chicago,Ĉikago,False,no
Chifchafo,Ĉifĉafo,False,no
Chihuahua,Chihuahua,False,no
Chikungunya,Ĉikungunjo,False,no
Chili-pimento,Kapsiketo,False,no
Chingiz-kano,Ĝingis-Ĥano,False,no
Chorizo,Ĉorizo,False,no
Choseo-rolero,Ŝoserulo,False,no
Ciberpunko,Kiberpunko,False,no
Cicero,Cicerono,False,no
Cicinho,Cicinho,False,no
Cientologio,Scientologio,False,no
Cigudosa,Cigudosa,False,no
Cihuela,Cihuela,False,no
Cikloido,Cikloido,False,no
Ciklopi,Ciklopo,False,no
Cikuto,Makula konio,False,no
Cilaos,Cilaos,False,no
Cilico,Pentozono,False,no
Cimabue,Cimabue,False,no
Cimitaro,Cimitaro,False,no
Cinekamero,Filmilo,False,no
Cinematiko,Kinematiko,False,no
Cinematografisto,Filmreĝisoro,False,no
Cinematografur-operacisto,Kameraisto,False,no
Cinematografuro,Filmo,False,no
Cinemo,Kinejo,False,no
Cionismo,Cionismo,False,no
Ciprino,Karpo,False,no
Ciria,Ciria,False,no
Cirkoncizo,Cirkumcido,False,no
Cirkuito eniro-ekiro,Eneligo,False,no
Cisjordania,Cisjordanio,False,no
Cisoido,Cisoido,False,no
Cisterno-navo,Cisternoŝipo,False,no
Cisterno-vagono,Cisterna vagono,False,no
Cistierna,Cistierna,False,no
Citrono,Citrono,False,no
Claudius,Klaŭdio,False,no
Cluedo,Clue,False,no
Cluj-Napoca,Kluĵo,False,no
Coahuila,Coahuila,False,no
Coimbra,Koimbro,False,no
Colatina,Colatina,False,no
Colima,Colima,False,no
Coluche,Michel Colucci,False,no
Comayagua,Comayagua,False,no
Concorde,Concorde,False,no
Conga-linguo,Conga lingvo,False,no
Congosto,Congosto,False,no
Copacabana,Copacabana,False,no
Coquimbo,Kokimbo,False,no
Coscurita,Coscurita,False,no
Cosmoglotta,Cosmoglotta,False,no
Costa-Gavras,Costa-Gavras,False,no
Cottbus,Cottbus,False,no
Covaleda,Covaleda,False,no
Craiova,Craiova,False,no
Cremona,Kremono,False,no
Cuadros,Cuadros,False,no
Cubilla,Cubilla,False,no
Cuneo,Cuneo,False,no
Curitiba,Kuritibo,False,no
Cuzco,Kusko,False,no
Dacia,Dakio,False,no
Dadaismo,Dadaismo,False,no
Dafne,Dafna,False,no
Dahome,Reĝlando Dahomeo,False,no
Daidalos,Dedalo,False,no
Daimahos,Deimaĥo,False,no
Daimono,Dajmono,False,no
Dakar,Dakaro,False,no
Dakhla,Daĥlo,False,no
Daktili,Daktiloj,False,no
Dallas,Dallas,False,no
Dalmatiko,Dalmatiko,False,no
Damaskus,Damasko,False,no
Damijano,Flasko,False,no
Danaidi,Danaidinoj,False,no
Danaos,Danao,False,no
Dania-Norvegia,Danio-Norvegio,False,no
Dans-arto,Koreografio,False,no
Darmstatio,Darmŝtatio,False,no
Dateliero,Daktilopalmo,False,no
Datizo,Datadmetodo,False,no
Datumo-centro,Datumcentro,False,no
Deajo,Diaĵo,False,no
Debo,Ŝuldo,False,no
Deci,Deci,False,no
Dedukto,Dedukto,False,no
Defino,Difino,False,no
Deifobos,Deifobo,False,no
Dejima,Deĵima,False,no
Deka,Deka,False,no
Dekaedro,Dekedro,False,no
Dekagono,Deklatero,False,no
Dekalkomanio,Transigobildo,False,no
Delaware,Delavaro,False,no
Delfi,Delfo,False,no
Delfinelo,Delfinio,False,no
Delhi,Delhio,False,no
Demiurgo,Demiurgo,False,no
Dendrologio,Dendrologio,False,no
Dentobrosilo,Dentobroso,False,no
Deontologio,Deontologio,False,no
Derbyshire,Derbyshire,False,no
Desegno,Desegnaĵo,False,no
Deserto,Dizerto,False,no
Desinfekto,Seninfektigo,False,no
Deskovristo,Malkovrinto,False,no
Deskurajo,Malkuraĝo,False,no
Despotismo,Despotismo,False,no
Desstalinigo,Senstalinigo,False,no
