ido_word,esperanto_word,in_current_dict,in_wiktionary
Juliala kalendario,Julia kalendaro,False,no
Kadavro bonega,Rava kadavro,False,no
Kalendario azteka,Azteka kalendaro,False,no
Kalorala regulado,Termoregulado,False,no
Kalorala transfero,Varmotransdono,False,no
Kaloro kambiilo,Varmointerŝanĝilo,False,no
Kaloro mashino,Termika motoro,False,no
Kanadana linco,Kanada linko,False,no
Kanarezo linguo,Kanara lingvo,False,no
Kanonala yuro,Kanona juro,False,no
Kardinala nombro,Kardinala nombro,False,no
Kardinala punti,Kompasdirektoj,False,no
Kardiovaskulala kirurgio,Korĥirurgio,False,no
Kareliana linguo,Karela lingvo,False,no
Karteziana produto,Kartezia produto,False,no
Kashubana linguo,Kaŝuba lingvo,False,no
Kastiliana linguo,Hispana lingvo,False,no
Kataluniana linguo,Kataluna lingvo,False,no
Kataluniana nacionalismo,Kataluna naciismo,False,no
Katolik eklezio,Katolika Eklezio,False,no
Katolika liturgio,Katolika liturgio,False,no
Katolika teologio,Katolika teologio,False,no
Kelta lingui,Kelta lingvaro,False,no
Kemial armo,Kemia armilo,False,no
Kemial elemento,Kemia elemento,False,no
Kemiala equilibro,Kemia ekvilibro,False,no
Kemiala formulo,Kemia formulo,False,no
Kemiala kompozuro,Kemia kombinaĵo,False,no
Kemiala ligilo,Kemia ligo,False,no
Kemiala reakto,Kemia reakcio,False,no
Kingston,Kingstono,False,no
Kiribatana linguo,Kiribata lingvo,False,no
Kirila alfabeto,Cirila alfabeto,False,no
Klasik antiqueso,Grek-romia antikvo,False,no
Klasika elementi,Klasikaj elementoj,False,no
Klasika mekaniko,Klasika mekaniko,False,no
Klasika studii,Klasikaj studoj,False,no
Klimado sportala,Sporta grimpado,False,no
Koibalana linguo,Koibala dialekto,False,no
Kokleal implantajo,Koklea enplanto,False,no
Kolda guto,Malvarma guto,False,no
Kolda milito,Malvarma milito,False,no
Komercala chambro,Komerca ĉambro,False,no
Komercala milito,Komerca milito,False,no
Komplexa nombro,Kompleksa nombro,False,no
Komplexa plano,Kompleksa ebeno,False,no
Kompozita nombro,Komponita nombro,False,no
Komputeral injeniorarto,Komputada inĝenierarto,False,no
Komputerala grafiko,Komputila grafiko,False,no
Komputerala programifado,Programado,False,no
Komputerala reto,Komputila reto,False,no
Komputerala simulo,Komputilsimulado,False,no
Komuna merkato,Komuna merkato,False,no
Komunikala kanalo,Komunika kanalo,False,no
Komunikala protokolo,Ret-komunika protokolo,False,no
Komunista simbolismo,Komunisma simbolaro,False,no
Konceptal arto,Koncepta arto,False,no
Kondutala genetiko,Konduta genetiko,False,no
