ido_word,esperanto_word,in_current_dict
Balabanovo,Balabanovo,False
Balakovo,Balakovo,False
Balasto,Balasto,False
Baleari,Balearoj,False
Balei,Balej,False
Baleto,Baleto,False
Bali,Balio,False
Balifo,Bajulo,False
Balisto,Balisto,False
Balkan-militi,Balkanaj militoj,False
Balkano-Latinida linguaro,Balkanlatinida lingvaro,False
Baltia,Baltio,False
Baltiko,Balta Maro,False
Balzam-vinagro,Balzamvinagro,False
Bamako,Bamako,False
Bambi,Bambi,False
Bananarama,Bananarama,False
Bangalore,Bengaluro,False
Bangui,Bango,False
Bantu-lingui,Bantua lingvaro,False
Baraona,Baraona,False
Barbados,Barbado,False
Barbakano,Barbakano,False
Barbari,Barbaroj,False
Barbie,Pupo Barbie,False
Barcarrota,Barcarrota,False
Barcelona,Barcelono,False
Bari,Bari,False
Bariloche,Bariloĉe,False
Barito,Barito,False
Barjas,Barjas,False
Barkarolo,Barkarolo,False
Barofluxo,Tajda kurondo,False
Barografo,Barografo,False
Barquisimeto,Barquisimeto,False
Barranquilla,Barankilo,False
Barsho,Labrako,False
Barto,Balenlameno,False
Basamento,Kelo,False
Basbalo,Basbalo,False
Bashar al-Assad,Baŝar al-Asad,False
Basilikata,Basilikato,False
Baskia,Eŭska Aŭtonoma Komunumo,False
Basono,Fagoto,False
Basse-Terre,Bas-Tero,False
Basseterre,Bastero,False
Bastia,Bastia,False
Batavi,Batavoj,False
Baterno,Baterno,False
Batilaro,Drumo,False
Batiskafo,Batiskafo,False
Batisto,Batisto,False
Baudo,Baŭdo,False
Bauhaus,Bauhaus,False
Bauxito,Baŭksito,False
Bavaria,Bavario,False
Bavli,Bavli,False
Bayamo,Bayamo,False
Bayo,Golfeto,False
Bayonne,Bajono,False
Bazalto,Bazalto,False
Beaufort-skalo,Boforta skalo,False
Bedivere,Bedivere,False
Begino,Beginoj kaj begardoj,False
Bekaseto,Granda kalidro,False
Bekasi,Bekasi,False
Bektashismo,Bektaŝismo,False
Beladono,Beladono,False
Belebei,Belebej,False
Beleso-konkurso,Beleco-konkurso,False
Belgia,Belgio,False
Belize,Belizo,False
Belokuriha,Belokuriĥa,False
Bembibre,Bembibro,False
Benediktano,Benediktanoj,False
Benefico,Beneficium,False
Benevento,Benevento,False
Bengali-linguo,Bengala lingvo,False
Benghazi,Bengazi,False
Benguela,Benguela,False
Benuza,Benuza,False
Benzoo,Benzoino,False
Berberiso,Berberiso,False
Bergamo,Bergamo,False
Bergamoto,Bergamotujo,False
Bergmann-regulo,Regulo de Bergmann,False
Berilio,Berilio,False
Berkelio,Berkelio,False
Bermo,Bermo,False
Bermudi,Bermudo,False
Bertioga,Bertioga,False
Berwick-upon-Tweed,Berwick-upon-Tweed,False
Besarabia,Besarabio,False
Beshamelo,Beŝamelo,False
Betelgeuse,Betelĝuzo,False
Betelo,Betelo,False
Betonio,Stakiso,False
Bezono,Bezono,False
Bhilai,Bhilai,False
Bhubaneswar,Bubaneŝaro,False
Biafra,Biafro,False
Biblioteko-cienco,Bibliotekoscienco,False
Bibrakti,Bibracte,False
Biciklagado,Biciklado,False
Bicokokodexo,Bajtkodo,False
Bielorusi,Belorusoj,False
Bielorusia,Belorusio,False
Bifurkilo,Trakforko,False
Bigoteso,Bigoteco,False
Bihar,Biharo,False
Bijektio,Dissurĵeto,False
Bikinio,Bikino,False
Bilateralismo,Duflankaj rilatoj,False
Bilbao,Bilbao,False
Bilbao-muzeo,Muzeo Guggenheim Bilbao,False
Bilboketo,Bilboko,False
Bilderberg-Grupo,Bilderberg-konferenco,False
Bineto,Rastro,False
Biocenoso,Biocenozo,False
Biodanso,Biodanco,False
Biodiverseso,Biodiverseco,False
Bioetiko,Bioetiko,False
Biofiziko,Biofiziko,False
Biogeografio,Biogeografio,False
Bioinformatiko,Biokomputiko,False
Biomekaniko,Biomeĥaniko,False
Biostatistiko,Biostatistiko,False
Biotopo,Biotopo,False
Bir-pongo,Bierpongo,False
Bireto,Bireto,False
Bisekanto,Dusekcanto,False
Bisexualeso,Ambaŭseksemo,False
Bislama-linguo,Bislama lingvo,False
Biso,Bisino,False
Bitinia,Bitinio,False
Bitro-bulo,Biterbulo,False
BitTorrento,BitTorento,False
Bivalvo,Duvalvulo,False
Bizanco,Bizanco,False
Bizelo,Bevelo,False
Blacos,Blacos,False
Blaverismo,Blaverismo,False
Blendo,Sfalerito,False
Bliecos,Bliecos,False
Blok-kateno,Blokĉeno,False
Blokhauso,Blokhaŭso,False
Blondie,Blondie,False
Blu-radio,Blu-radia disko,False
Bodrucho,Baŭdruĉo,False
Boer-militi,Brita-bura milito,False
Boethius,Boecio,False
Bogio,Boĝio,False
Bogota,Bogoto,False
Bohemia,Bohemio,False
Bokalo,Bokalo,False
Boleto,Boleto,False
Bolivia,Bolivio,False
Bolo,Bovlo,False
Bologna,Bolonjo,False
Bolsheviki,Bolŝeviko,False
Bolshoy-teatro,Bolŝoj-Teatro,False
Bolzano,Bolzano-Bozen,False
Bombardaviono,Bombaviadilo,False
Bonaire,Bonero,False
Bonajo,Havaĵo,False
Booleano,Bulea datumtipo,False
Boracho,Oficina borago,False
Borborigmo,Abdomena kvako,False
Borgezaro,Burĝo,False
Borna,Borna,False
Borneo,Borneo,False
Borobia,Borobia,False
Bosajo,Boso,False
Bostono,Boston,False
Botswana,Bocvano,False
Botulismo,Botulismo,False
Boulogne-Billancourt,Boulogne-Billancourt,False
Boulogne-sur-Mer,Boulogne-sur-Mer,False
Boxe pieds-poings,Boxe pieds-poings,False
Boyo,Buo,False
Braga,Braga,False
Brahma,Brahmao,False
Brahmagupta,Brahmagupta,False
Brahmaputra,Bramaputro,False
Brakiolukto,Pojnduelo,False
Brakiopodo,Brakiopodoj,False
Brakteo,Brakteo,False
Brankiopodo,Brankiopodoj,False
Brasilia,Braziljo,False
Bratislava,Bratislavo,False
Brazuelo,Brazuelo,False
